,cifar10_accuracy,cifar10_accuracy_ci,cifar10.1-v6_accuracy,cifar10.1-v6_accuracy_ci,pretrained,model_family,model_hparams
553,0.9004,"(0.8943634445810288, 0.9062022050513467)",0.807,"(0.78900891727425, 0.8240862775606366)",False,DPN26,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.0016297508346206436, 'momentum': 0.8940404040404041, 'weight_decay': 4.037017258596558e-05, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.4755102040816327}"
554,0.957,"(0.9528388184901203, 0.9608922970801496)",0.8875,"(0.8728301319648202, 0.9010225627397414)",False,PreActResNet50,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0.0005, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1}"
555,0.3713,"(0.36181900715559256, 0.3808560020930437)",0.266,"(0.2467392641401549, 0.285949027597017)",False,RidgeClassifier,"{'alpha': 2.782559402207126, 'normalize': False, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
556,0.1,"(0.09418721173377065, 0.10604689990363225)",0.1,"(0.08719578355343882, 0.11398997429542912)",False,RidgeClassifier,"{'alpha': 6.734150657750801e+21, 'normalize': True, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
557,0.9439,"(0.9392089676523879, 0.9483303564015242)",0.876,"(0.8607526230700561, 0.890135172543668)",False,MobileNetV2,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.0020565123083486517, 'momentum': 0.9765656565656566, 'weight_decay': 0.0022051307399030455, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1816326530612245}"
558,0.423,"(0.4132906899678089, 0.43275418052142856)",0.33,"(0.30940412303786097, 0.35109541768873753)",False,RandFeaturesCoatesNg_2to2,"{'num_filters': 4, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.5, 'zca': False, 'tot_patches': 100000}"
559,0.5718,"(0.5620320023121137, 0.5815261578612787)",0.424,"(0.4022164305586316, 0.44600672424184695)",False,SVM,"{'kernel': 'rbf', 'C': 10, 'gamma': 'auto', 'scale_features': True}"
560,0.1,"(0.09418721173377065, 0.10604689990363225)",0.1,"(0.08719578355343882, 0.11398997429542912)",False,ResNeXt29_2x64d,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.6135907273413169, 'momentum': 0.8057575757575758, 'weight_decay': 0.01707352647470692, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1326530612244898}"
561,0.7671,"(0.758688532107824, 0.7753556420173311)",0.5995,"(0.5776421776475896, 0.6210656285564549)",False,RandFeaturesCoatesNg_2to14,"{'num_filters': 16384, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.01, 'zca': False, 'tot_patches': 100000}"
562,0.329,"(0.3197920006102806, 0.33830768154502366)",0.2565,"(0.23747928602327548, 0.2762370896259049)",False,RandFeaturesCoatesNg_2to1,"{'num_filters': 2, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.1, 'zca': False, 'tot_patches': 100000}"
563,0.2666,"(0.257952368360501, 0.27538374956234657)",0.2055,"(0.18798315045745098, 0.22388444001172103)",False,RandFeaturesCoatesNg_2to0,"{'num_filters': 1, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.1, 'zca': False, 'tot_patches': 100000}"
564,0.7241,"(0.7152252045519423, 0.7328441118104723)",0.5835,"(0.5615353017961193, 0.6052195125789546)",False,RandFeaturesCoatesNg_2to8,"{'num_filters': 256, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.0001, 'zca': False, 'tot_patches': 100000}"
565,0.2529,"(0.24440347396727788, 0.26154065252771863)",0.202,"(0.18460101726969713, 0.22027698589413058)",False,RidgeClassifier,"{'alpha': 3.0538555088334123e+19, 'normalize': False, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
566,0.9019,"(0.8959024973504215, 0.9076622566963182)",0.817,"(0.7993435085563598, 0.8337218569412097)",False,PreActResNet18,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.001, 'momentum': 0.739090909090909, 'weight_decay': 0.00032745491628777284, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.24612244897959185}"
567,0.7524,"(0.7438176770982348, 0.7608350970629426)",0.628,"(0.6063918621715335, 0.6492321726020803)",False,LeNet,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0.0005, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1}"
568,0.2583,"(0.24974260933150663, 0.26699836001264887)",0.201,"(0.18363507251031383, 0.21924590673355082)",False,RidgeClassifier,"{'alpha': 9111.627561154906, 'normalize': True, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
569,0.9608,"(0.9568097124402101, 0.9645189688663152)",0.9055,"(0.8918285825077038, 0.9179686170620227)",True,imgnt_resnet50,"{'num_classes': 10, 'input_size': (224, 224), 'pretrained': True, 'finetune_only_last_layer': False, 'batch_size': 32, 'epochs': 100, 'optimizer': 'SGD', 'lr': 0.01, 'momentum': 0.9, 'weight_decay': 0.0, 'lr_scheduler': 'StepLR', 'milestones': (30, 60, 80), 'gamma': 0.975, 'dropout_p': 0.2, 'color_jitter': False}"
570,0.1,"(0.09418721173377065, 0.10604689990363225)",0.1,"(0.08719578355343882, 0.11398997429542912)",False,VGG16,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.6135907273413169, 'momentum': 0.8057575757575758, 'weight_decay': 0.01707352647470692, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1326530612244898}"
571,0.5185,"(0.508652699305232, 0.5283365209435763)",0.402,"(0.3804189400366423, 0.4238688461659259)",False,ShuffleNetV2_0_5,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.6892612104349695, 'momentum': 0.8652525252525253, 'weight_decay': 0.00031257158496882353, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.7204081632653062}"
572,0.385,"(0.3754475518874863, 0.3946194694131423)",0.2855,"(0.2657820739181261, 0.3058486333417786)",False,RidgeClassifier,"{'alpha': 0.0008497534359086438, 'normalize': True, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
573,0.3637,"(0.35426215121935506, 0.3732172898658067)",0.267,"(0.24771467197009306, 0.28697066477876676)",False,RidgeClassifier,"{'alpha': 5.72236765935022e-05, 'normalize': False, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
574,0.7527,"(0.744121029595113, 0.7611315691112307)",0.6085,"(0.5867127278388887, 0.6299686300272418)",False,RandFeaturesCoatesNg_2to9,"{'num_filters': 512, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 10.0, 'zca': False, 'tot_patches': 100000}"
575,0.9404,"(0.9355801738214802, 0.9449613092493033)",0.8625,"(0.8466258460731427, 0.8773028954611926)",False,ShuffleNetV2_1_5,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.0020565123083486517, 'momentum': 0.9765656565656566, 'weight_decay': 0.0022051307399030455, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1816326530612245}"
576,0.2525,"(0.2440080512121438, 0.26113630917234076)",0.2015,"(0.18411802367840832, 0.2197614674675571)",False,RidgeClassifier,"{'alpha': 7.054802310718631e+16, 'normalize': False, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
577,0.9317,"(0.9265788717387783, 0.9365679353775381)",0.8585,"(0.8424497713861057, 0.8734910576605801)",False,ShuffleNetG2,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.0020565123083486517, 'momentum': 0.9765656565656566, 'weight_decay': 0.0022051307399030455, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1816326530612245}"
578,0.7009,"(0.6918184574809048, 0.7098644087615967)",0.5475,"(0.525379808225088, 0.56948073482305)",False,RandFeaturesCoatesNg_2to7,"{'num_filters': 128, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.01, 'zca': False, 'tot_patches': 100000}"
